name,feature,location,regional_c,map_reference,dms_latitude,dms_longitude,utm_northing,utm_easting,object_id,latitude,longitude
Wanuto Island,Island,"Corentyne r., 189 km or 117 ½ mi. up.",6,47SW,"4° 59' 48"" N","57° 26' 4"" W",552316,451813,5137,4.996699999999999,-57.4347
Waparu River,River,"L.b. Kukui r., l.b. Mazaruni r., l.b. Essequibo r., 96 km or 59 ½ mi. up.",721153,41NE,"5° 20' 48"" N","60° 15' 5"" W",591943,139564,5138,5.34669999999999,-60.25149999999999
Waparu River,River,"L.b. Haieka r., l.b. Mazaruni r., l.b. Essequibo r., 7 km or 4 ½ mi. up.",72115,41NE,"5° 29' 0"" N","60° 8' 37"" W",607021,151595,5139,5.483499999999987,-60.1438
Wapay River,River,"L.b. Cuyuni r., l.b. Mazaruni r., l.b. Essequibo r., 33 km or 20 ½ mi. below Akarabisi r.",71122,16NE,"6° 50' 48"" N","60° 8' 5"" W",757938,153476,5140,6.8466999999999985,-60.1348
Wappu Creek,Creek,"L.b. Demerara r., 31 ½ km or 19 ½ mi. above Ororo Marali or Great Falls.",012311,44SE,"5° 9' 53"" N","58° 38' 51"" W",571128,317359,5141,5.164899999999996,-58.64779999999999
Wappu Fall,Fall,"Demerara r., 31 ½ km or 19 ½ mi. above Ororo Marali or Great Falls.",01231,44SE,"5° 9' 48"" N","58° 38' 5"" W",570956,318804,5142,5.163399999999993,-58.6347
Wapuau River,River,"R.b. Essequibo r., 206 km or 128 mi. above a point opp. Kuyuwini r.",92111,91NE,"1° 29' 8"" N","58° 44' 15"" W",164279,306685,5143,1.4856000000000027,-58.7376
Warababaru Creek,Creek,"R.b. Ituni r., l.b. Berbice r., 43 km or 26 ½ mi. up.",022111,37SE,"5° 31' 42"" N","58° 12' 48"" W",611222,365579,5144,5.528499999999997,-58.2135
Warabaro Fall,Fall,"Warabaro r., l.b. Demerara r., 5 km or 3 mi. up.",01222,37SW,"5° 32' 48"" N","58° 24' 4"" W",613281,344770,5145,5.546699999999991,-58.40140000000001
Warabaro River,River,"L.b. Demerara r., 87 ½ km or 54 ½ mi. above a point opp. Karakara r., Linden.",01222,37SW,"5° 33' 42"" N","58° 22' 22"" W",614933,347927,5146,5.561700000000002,-58.3729
Warabaru Creek,Creek,"R.b. Kuruabaru r., r.b. Demerara r., 19 km or 12 mi. up.",012312,45NW,"5° 19' 31"" N","58° 18' 32"" W",588796,354955,5147,5.325499999999992,-58.309
Warabuna Creek,Creek,"L.b. Ituni r., l.b. Berbice r., 21 ½ km or 13 ½ mi. up.",022111,37SE,"5° 32' 48"" N","58° 3' 4"" W",613201,383546,5148,5.546699999999991,-58.0514
Waraderukabra River,River,"L.b. Kadaleru ck., r.b. Wainibisi r., r.b. Demerara r., 2 km or 1 mi. up.",012213,37NW,"5° 46' 35"" N","58° 16' 53"" W",638653,358113,5149,5.7764999999999995,-58.2815
Waraikushuru River,River,"R.b. Barama r.,  l.b. Waini r., 88 km or 54 ½ mi. up.",122222,10NE,"7° 22' 55"" N","59° 35' 36"" W",816824,213705,5150,7.382099999999995,-59.5934
Waraipwau River,River,"R.b. Rupununi r., l.b. Essequibo r., 40 km or 25 mi. above Kubanawau r.",912412,77NW,"2° 20' 28"" N","59° 26' 54"" W",259006,227701,5151,2.341099999999993,-59.4484
Warak Mountain,Mountain,"R.b. Potaro r., l.b. Essequibo r., 1 ½ km or 1 mi. inland from a point 31 ½ km or 19 ½ mi. above Kangaruma.",812122,43NW,"5° 15' 48"" N","59° 22' 5"" W",582275,237519,5152,5.2634,-59.3681
Warakabaina Creek,Creek,"R.b. Aruau r., l.b. Aruka r., l.b. Barima r., 1 km or ½ mi. up.",112114,1SW,"8° 0' 48"" N","59° 50' 5"" W",886862,187494,5153,8.013400000000006,-59.8348
